[2025-07-06 18:27:24,924][__main__][INFO] - [rank: 0] Instantiating model <src.models.transition_model.TransitionModel>
[2025-07-06 18:27:25,050][__main__][INFO] - [rank: 0] Instantiating data buffer <common.replay_buffer_wrapper.ReplayBufferWrapper>
[2025-07-06 18:27:25,062][__main__][INFO] - [rank: 0] Instantiating model buffer <common.replay_buffer_wrapper.ReplayBufferWrapper>
[2025-07-06 18:27:25,073][lightning.fabric.utilities.seed][INFO] - Seed set to 1
[2025-07-06 18:27:25,075][__main__][INFO] - [rank: 0] Instantiating callbacks...
[2025-07-06 18:27:25,075][utils.instantiators][INFO] - [rank: 0] Instantiating callback <lightning.pytorch.callbacks.ModelCheckpoint>
[2025-07-06 18:27:25,081][utils.instantiators][INFO] - [rank: 0] Instantiating callback <lightning.pytorch.callbacks.RichModelSummary>
[2025-07-06 18:27:25,082][utils.instantiators][INFO] - [rank: 0] Instantiating callback <lightning.pytorch.callbacks.RichProgressBar>
[2025-07-06 18:27:25,083][__main__][INFO] - [rank: 0] Instantiating loggers...
[2025-07-06 18:27:25,083][utils.instantiators][INFO] - [rank: 0] Instantiating logger <lightning.pytorch.loggers.wandb.WandbLogger>
[2025-07-06 18:27:25,090][__main__][INFO] - [rank: 0] Instantiating model <src.algos.mopo.MOPO>
